"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
3479,"KDAL","large_airport","Dallas Love Field",32.8470993041992,-96.8517990112305,487,"NA","US","US-TX","Dallas","yes","KDAL","DAL","DAL",,"http://en.wikipedia.org/wiki/Dallas_Love_Field","QDF"
3480,"KDAN","medium_airport","Danville Regional Airport",36.5728988647461,-79.3360977172852,571,"NA","US","US-VA","Danville","no","KDAN","DAN","DAN",,,
3481,"KDAY","large_airport","James M Cox Dayton International Airport",39.902400970459,-84.2193984985352,1009,"NA","US","US-OH","Dayton","yes","KDAY","DAY","DAY",,"http://en.wikipedia.org/wiki/Dayton_International_Airport",
3482,"KDBQ","large_airport","Dubuque Regional Airport",42.40200043,-90.70950317,1077,"NA","US","US-IA","Dubuque","yes","KDBQ","DBQ","DBQ",,"http://en.wikipedia.org/wiki/Dubuque_Regional_Airport",
3483,"KDCA","large_airport","Ronald Reagan Washington National Airport",38.8521003723145,-77.0376968383789,15,"NA","US","US-DC","Washington","yes","KDCA","DCA","DCA","http://www.mwaa.com/national/","http://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport","WAS"
3484,"KDDC","medium_airport","Dodge City Regional Airport",37.7634010314941,-99.9655990600586,2594,"NA","US","US-KS","Dodge City","yes","KDDC","DDC","DDC",,"http://en.wikipedia.org/wiki/Dodge_City_Regional_Airport",
3485,"KDEC","medium_airport","Decatur Airport",39.8345985412598,-88.8656997680664,682,"NA","US","US-IL","Decatur","yes","KDEC","DEC","DEC",,"http://en.wikipedia.org/wiki/Decatur_Airport",
3486,"KDEN","large_airport","Denver International Airport",39.8616981506348,-104.672996520996,5431,"NA","US","US-CO","Denver","yes","KDEN","DEN","DEN","http://www.flydenver.com/","http://en.wikipedia.org/wiki/Denver_International_Airport",
3487,"KDET","medium_airport","Coleman A. Young Municipal Airport",42.40919876,-83.00990295,626,"NA","US","US-MI","Detroit","no","KDET","DET","DET",,"http://en.wikipedia.org/wiki/Coleman_A._Young_International_Airport",
3488,"KDFW","large_airport","Dallas Fort Worth International Airport",32.896800994873,-97.0380020141602,607,"NA","US","US-TX","Dallas-Fort Worth","yes","KDFW","DFW","DFW","http://www.dfwairport.com/","http://en.wikipedia.org/wiki/Dallas-Fort_Worth_International_Airport","QDF"
3489,"KDHN","medium_airport","Dothan Regional Airport",31.3213005065918,-85.4496002197266,401,"NA","US","US-AL","Dothan","yes","KDHN","DHN","DHN",,"http://en.wikipedia.org/wiki/Dothan_Regional_Airport",
19628,"KDHT","medium_airport","Dalhart Municipal Airport",36.0225982666,-102.54699707,3991,"NA","US","US-TX","Dalhart","no","KDHT","DHT","DHT",,"http://en.wikipedia.org/wiki/Dalhart_Municipal_Airport",
19630,"KDIK","medium_airport","Dickinson Theodore Roosevelt Regional Airport",46.7974014282,-102.802001953,2592,"NA","US","US-ND","Dickinson","no","KDIK","DIK","DIK","http://dickinsonairport.com/","http://en.wikipedia.org/wiki/Dickinson_Theodore_Roosevelt_Regional_Airport",
